Function|Category|Subcategory|Category Title|Subcategory Title|Control|Control Family|Publication|Core|Privacy Baseline|Security Control Baseline - Low|Security Control Baseline - Moderate|Security Control Baseline - High
DETECT (DE)|DE.AE|DE.AE-1|Anomalies and Events|A baseline of network operations and expected data flows for users and systems is established and managed|AC-04|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
DETECT (DE)|DE.AE|DE.AE-1|Anomalies and Events|A baseline of network operations and expected data flows for users and systems is established and managed|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-1|Anomalies and Events|A baseline of network operations and expected data flows for users and systems is established and managed|CA-03|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-1|Anomalies and Events|A baseline of network operations and expected data flows for users and systems is established and managed|CM-02|CONFIGURATION MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-2|Anomalies and Events|Detected events are analyzed to understand attack targets and methods|AU-06|AUDIT AND ACCOUNTABILITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-2|Anomalies and Events|Detected events are analyzed to understand attack targets and methods|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-2|Anomalies and Events|Detected events are analyzed to understand attack targets and methods|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-2|Anomalies and Events|Detected events are analyzed to understand attack targets and methods|IR-04|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-3|Anomalies and Events|Event data are aggregated and correlated from multiple sources and sensors|AU-06|AUDIT AND ACCOUNTABILITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-3|Anomalies and Events|Event data are aggregated and correlated from multiple sources and sensors|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-3|Anomalies and Events|Event data are aggregated and correlated from multiple sources and sensors|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-3|Anomalies and Events|Event data are aggregated and correlated from multiple sources and sensors|IR-04|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-3|Anomalies and Events|Event data are aggregated and correlated from multiple sources and sensors|IR-08|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
